time=14:02:35.583391; count=5; size=1M; cpu=1.51 1.17 0.97 3/798 15025
time=14:05:52.906321; count=5; size=1M; cpu=1.25 1.01 0.94 1/803 15565
time=14:07:48.803031; count=5; size=1M; cpu=1.21 1.04 0.96 1/800 16338
time=14:09:06.283020; count=5; size=1M; cpu=0.86 0.98 0.94 1/809 16895
time=14:12:57.758251; count=5; size=1M; cpu=0.93 1.06 0.99 3/794 17452
time=14:14:33.144631; count=5; size=1M; cpu=1.50 1.16 1.03 1/801 18066
time=14:17:18.765225; count=5; size=1M; cpu=0.83 1.07 1.02 3/808 18763
time=14:24:28.739896; count=5; size=1M; cpu=1.68 1.02 0.98 3/811 19506
time=14:39:11.942812; count=5; size=1M; cpu=0.52 0.95 0.94 4/823 20457
time=14:45:02.431857; count=5; size=1M; cpu=0.63 0.92 0.95 3/829 21152
time=14:47:58.602737; count=5; size=1M; cpu=1.71 1.01 0.96 2/830 21774
time=14:54:33.602588; count=5; size=1M; cpu=1.63 1.18 1.02 5/837 22485
time=14:55:45.957879; count=5; size=1M; cpu=1.39 1.18 1.03 5/837 23099
time=16:09:48.206501; count=5; size=1M; cpu=1.05 1.19 1.08 4/837 25655
time=16:19:40.354616; count=5; size=1M; cpu=0.84 1.08 1.06 1/848 26130
time=16:22:09.032924; count=5; size=1M; cpu=1.00 0.99 1.02 5/836 26519
time=16:23:18.524527; count=5; size=1M; cpu=1.46 1.10 1.05 7/838 26897
time=16:26:28.042324; count=5; size=1M; cpu=1.10 1.05 1.04 2/849 27319
time=16:35:17.380338; count=5; size=1M; cpu=0.74 0.75 0.87 3/841 27819
time=16:47:19.291722; count=5; size=1M; cpu=1.34 0.95 0.85 19/831 28368
time=16:49:48.973506; count=5; size=1M; cpu=0.99 0.97 0.88 3/841 28872
time=17:00:02.491142; count=2; size=1M; cpu=1.24 1.03 0.94 1/841 29162
time=17:01:50.876835; count=2; size=1M; cpu=0.92 1.02 0.95 5/844 29529
time=17:02:16.162610; count=2; size=1M; cpu=1.22 1.11 0.98 2/835 29720
time=17:03:58.156876; count=2; size=1M; cpu=1.48 1.21 1.03 2/837 29922
time=17:10:47.958228; count=2; size=1M; cpu=1.30 0.86 0.88 2/845 30324
time=17:21:17.936143; count=2; size=1M; cpu=1.26 1.12 0.95 5/845 30763
time=17:36:05.097024; count=2; size=1M; cpu=2.57 2.27 1.49 6/841 31578
time=17:41:00.240450; count=2; size=1M; cpu=1.44 1.93 1.57 1/838 32453
time=17:41:04.760228; count=2; size=1M; cpu=1.40 1.91 1.56 1/834 32808
time=17:41:09.504548; count=2; size=1M; cpu=1.61 1.95 1.58 2/841 33165
time=17:42:39.878631; count=2; size=1M; cpu=2.66 2.19 1.70 2/843 33533
time=17:47:49.977593; count=2; size=1M; cpu=1.38 1.57 1.59 1/840 33941
time=18:11:03.526975; count=2; size=1M; cpu=1.06 0.84 0.81 1/836 34793
time=18:24:03.304161; count=2; size=1M; cpu=1.54 1.03 0.95 5/841 35521
time=18:28:48.579853; count=2; size=1M; cpu=1.23 1.09 0.99 3/836 35947
time=18:30:37.535720; count=2; size=1M; cpu=0.75 0.93 0.95 3/834 36332
time=18:31:26.499399; count=2; size=1M; cpu=1.38 1.06 0.99 4/839 36758
time=18:33:06.880229; count=2; size=1M; cpu=1.38 1.15 1.03 5/838 37215
time=18:35:11.792677; count=2; size=1M; cpu=1.17 1.06 1.01 7/840 37651
time=18:38:47.616993; count=2; size=1M; cpu=1.04 0.98 0.99 4/835 38133
time=18:39:07.450433; count=2; size=1M; cpu=1.74 1.13 1.04 6/840 38562
time=18:42:44.275153; count=2; size=1M; cpu=1.01 1.01 1.00 1/838 39053
time=18:47:16.150030; count=2; size=1M; cpu=0.89 1.00 1.00 1/839 39547
time=19:05:26.821609; count=2; size=1M; cpu=0.68 0.72 0.76 2/838 40393
time=19:06:58.109089; count=2; size=1M; cpu=1.16 0.84 0.80 6/834 40816
time=19:13:46.151275; count=2; size=1M; cpu=1.18 1.00 0.88 2/839 41226
time=19:24:55.921968; count=2; size=1M; cpu=1.49 0.93 0.88 4/834 41647
time=19:25:14.874015; count=2; size=1M; cpu=1.35 0.93 0.89 2/840 42183
time=19:25:19.306859; count=2; size=1M; cpu=1.40 0.95 0.89 3/836 42540
time=19:25:23.915303; count=2; size=1M; cpu=1.45 0.97 0.90 4/837 42896
time=19:25:30.410965; count=2; size=1M; cpu=1.41 0.97 0.90 5/837 43249
time=19:25:35.013673; count=2; size=1M; cpu=1.46 0.99 0.91 4/841 43609
time=19:25:40.290604; count=2; size=1M; cpu=1.42 0.99 0.91 3/841 44012
time=19:25:44.872450; count=2; size=1M; cpu=1.39 0.99 0.91 4/837 44365
time=19:25:49.724516; count=2; size=1M; cpu=1.76 1.07 0.94 8/838 44683
time=19:44:57.660094; count=2; size=1M; cpu=1.69 1.29 1.10 5/846 46435
time=20:05:30.551033; count=2; size=1M; cpu=1.49 1.10 1.01 2/835 50113
time=20:05:35.146113; count=2; size=1M; cpu=1.45 1.10 1.01 9/841 50474
time=20:05:39.530476; count=2; size=1M; cpu=1.45 1.10 1.01 2/840 50825
time=20:05:45.788750; count=2; size=1M; cpu=2.19 1.27 1.07 3/835 51178
time=20:05:50.122362; count=2; size=1M; cpu=2.18 1.29 1.07 2/840 51538
time=20:05:55.207908; count=2; size=1M; cpu=2.08 1.28 1.07 3/840 51941
time=20:05:59.376885; count=2; size=1M; cpu=2.08 1.28 1.07 2/835 52295
